PID,Province,DID,District,Crop,Year,(Area in '000' Hectares),"(Production in ""000""Tonnes)"
1,Balochistan,18,Kohlu,Wheat,1990-91,5.3,5.6
1,Balochistan,121,Lasbela,Wheat,1990-91,1.2,2
1,Balochistan,111,Loralai,Wheat,1990-91,26.5,42.9
1,Balochistan,122,Mastung,Wheat,1990-91,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1990-91,0,0
1,Balochistan,118,NASEERABAD,Wheat,1990-91,0,0
1,Balochistan,130,PANJGUR,Wheat,1990-91,0.5,0.7
1,Balochistan,12,Pishin,Wheat,1990-91,25.2,49.2
1,Balochistan,11,Quetta,Wheat,1990-91,2.7,5.2
1,Balochistan,16,Sibi,Wheat,1990-91,14.6,34.7
1,Balochistan,134,Tomboo,Wheat,1990-91,53.1,133
1,Balochistan,135,Turbat,Wheat,1990-91,0.8,1.4
1,Balochistan,115,Zhob,Wheat,1990-91,2.2,3.9
1,Balochistan,110,Ziarat,Wheat,1990-91,0.1,0.1
1,Balochistan,125,Awaran,Wheat,1991-92,0,0
1,Balochistan,113,Barkhan,Wheat,1991-92,0,0
1,Balochistan,119,Bolan,Wheat,1991-92,0,0
1,Balochistan,15,Chagai,Wheat,1991-92,3.3,5.6
1,Balochistan,19,DERA BUGTI,Wheat,1991-92,0.7,0.9
1,Balochistan,129,Gwadar,Wheat,1991-92,0.1,0.1
1,Balochistan,117,JAFARABAD,Wheat,1991-92,74.3,200.6
1,Balochistan,120,JHAL MAGSI,Wheat,1991-92,0.1,0
1,Balochistan,128,KACHHI,Wheat,1991-92,18.3,39.9
1,Balochistan,123,Kalat,Wheat,1991-92,28.4,50.7
1,Balochistan,126,Kharan,Wheat,1991-92,5.7,5.9
1,Balochistan,124,Khuzdar,Wheat,1991-92,44.9,70.5
1,Balochistan,13,KILLA ABDULLAH,Wheat,1991-92,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1991-92,4.3,8.3
1,Balochistan,18,Kohlu,Wheat,1991-92,6,6.6
1,Balochistan,121,Lasbela,Wheat,1991-92,0.3,0.7
1,Balochistan,111,Loralai,Wheat,1991-92,21,38.1
1,Balochistan,122,Mastung,Wheat,1991-92,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1991-92,0,0
1,Balochistan,118,NASEERABAD,Wheat,1991-92,0,0
1,Balochistan,130,PANJGUR,Wheat,1991-92,0.3,0.6
1,Balochistan,12,Pishin,Wheat,1991-92,26,50.6
1,Balochistan,11,Quetta,Wheat,1991-92,2.9,6
1,Balochistan,16,Sibi,Wheat,1991-92,13.2,30
1,Balochistan,134,Tomboo,Wheat,1991-92,54.9,142.6
1,Balochistan,135,Turbat,Wheat,1991-92,0.9,1.6
1,Balochistan,115,Zhob,Wheat,1991-92,2.2,3.7
1,Balochistan,110,Ziarat,Wheat,1991-92,0.1,0.1
1,Balochistan,125,Awaran,Wheat,1992-93,0,0
1,Balochistan,113,Barkhan,Wheat,1992-93,12,21.7
1,Balochistan,119,Bolan,Wheat,1992-93,10.6,25.8
1,Balochistan,15,Chagai,Wheat,1992-93,13.8,19.5
1,Balochistan,19,DERA BUGTI,Wheat,1992-93,0.7,0.9
1,Balochistan,129,Gwadar,Wheat,1992-93,0.1,0.1
1,Balochistan,117,JAFARABAD,Wheat,1992-93,75.3,195.8
1,Balochistan,120,JHAL MAGSI,Wheat,1992-93,9.7,21.7
1,Balochistan,128,KACHHI,Wheat,1992-93,0,0
1,Balochistan,123,Kalat,Wheat,1992-93,11.5,21.7
