Year,PID,Province,DID,District,Livestock,Livestock Type,Sex,Farm Type,NUMBER OF FARMS,NUMBER OF ANIMALS
1996,1,Balochistan,119,BOLAN,Cattle,COWS 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,12630,25261
1996,1,Balochistan,119,BOLAN,Cattle,COWS 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,119,BOLAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,11389,18810
1996,1,Balochistan,119,BOLAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,11717,14322
1996,1,Balochistan,119,BOLAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,119,BOLAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,FARM HOUSEHOLDS,1160,1181
1996,1,Balochistan,119,BOLAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,626,632
1996,1,Balochistan,119,BOLAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,119,BOLAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,FARM HOUSEHOLDS,205,527
1996,1,Balochistan,119,BOLAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,196,696
1996,1,Balochistan,119,BOLAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,119,BOLAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,115,189
1996,1,Balochistan,119,BOLAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,128,177
1996,1,Balochistan,119,BOLAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,Other,,
